3,1, Frostveil Tundra,A barren tundra of ice and wind.,0,1,1,0
4,1, Shivering Pines,Towering pine trees look down on a peaceful glimmering forest of ice.,0,1,1,1
5,1, Icebound Wastes,A wasteland of ice and brutal wind a castle standing alone and stoic in the distance. ,0,0,0,1
2,2, The Everfrozen Reach,Waves from the sea bash up against the frozen cliffs as the shivering wind blows over the peaks.,0,1,1,0
3,2, Glaciergrave Depths,Far at the bottom of the mountain valley a glacier has since passed and the ruins of an unfortunate town lie in the wake.,1,0,1,1
4,2, Gloomfrost Valley,The Valley slowly descends downward towards the ocean. The snow at the top of the mountain slowly fades down the mountain side into a lush forest of pine trees. ,1,0,0,1
2,3, Dewdrop Crescent, A small crescent shaped valley between the ocean and the mountains lush with greenery and forest life.,1,1,0,0
5,3, Sunpetal Springs, Nestled between the mountain and the coast lies a peaceful valley full of flowers hiding a village. ,0,1,1,0
6,3, Twilight Lantern Bay,Just beyond Sunpetal village a long stretch of land with waves bashing on either side and docks with fishing boats tied off scattered around. ,0,0,1,1
7,3, Twilight Lantern Light tower, A Large light tower that reaches to the sky and shines a bright light so fisherman can find their way home from the sea. ,0,0,0,1
1,4, Willowmist Town,You approach a town made of mangled buildings and thrown together cottages from shipwreck scraps hiding at the bottom of a gloomy and dark swamp.,0,0,1,0
2,4, Aurora Hearthwood,A dense and lush forest of green overgrown trees. Wild life dances throughout the brush and birds are constantly chirping and singing.,1,1,1,1
3,4, Eldergrove Vale,Deep in the Forest a low flat valley transforms into darkness. The only sunlight poking through the ,0,1,1,1
4,4, Golden Acorn Borough, The dense forest is alive with massive squirrels frolicking around everywhere. The trees are taller than castles.,0,1,1,1
5,4, Honeythorne Hamlet,Just passed the edge of the forest a small settlement sits in a calm field near the ocean.,1,1,0,1
2,5, Starfall Meadows,A beautiful meadow that stretches to the horizon,1,0,1,0
3,5, Crystal Fern Hollow, Deep within the forest  a mound of earth juts from the ground with blue glowing crystals shining out onto the trees and brush. ,1,1,1,1
4,5, Briarblossom Ridge,The dense forest tapers off into a small clearing surrounded by briar bushes with small red flowers all over them. The edge of the clearing is marked by a steep cliff. ,1,1,0,1
5,5, Silverleaf Glade, Descending from the mountains a swamp crawling with insects and leeches  crawling with insects and leeches  breaks open to a shallow piece of land right before it begins to meld into the ocean. ,1,0,0,1
3,6, Moonbrook Village, The vast forest breaks and just past the tree line begins the first of many buildings of a large village. Smoke is pouring out of chimneys all the way to the coast.,1,0,1,0
4,6, Thistlemoon Crossing, The vast forest to the north breaks into a large field of briar and brush. In the distance a constant storm swirls with anguish. ,1,1,0,1
4,7, Nightfang Pass, A desolate place. Unnerving air swirls around you as you witness fiends shaped like dogs fight each other off. ,1,1,0,0
3,8, Skullroot Forest, A Dense boggy forest on the edge of the world  the air is thick with smog and ground littered with bones. Sword and Spears emerge from the ground like scattered blades of glass. ,0,0,1,0
4,8, The Obsidian Expanse,A vast expanse of nothing but black  glossy rock and eerie red lightening in the distance. ,1,1,1,1
5,8, Bloodmist Highlands,A red aura in the air circulates around spiring pillars of rock and flesh-like crags in the ground.,0,0,0,1
4,9, The Silent Necropolis,The City of the Dead,1,0,0,0
